Time,Distance,Engine,Lateral_acc,Longitudinal_a,GPS_Speed,GPS_LatAcc,GPS_LonAcc,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,
0.000,0.000,2141.000000,-0.843078,0.473316,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430069198,-35.195871351727,
0.010,0.000,2141.399902,-0.785139,0.420212,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067207,-35.195871346194,
0.020,0.000,2143.399902,-0.770926,0.337159,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067260,-35.195871342401,
0.030,0.000,2145.000000,-0.817543,0.301374,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067312,-35.195871338608,
0.040,0.000,2145.000000,-0.888358,0.335665,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067365,-35.195871334814,
0.050,0.000,2145.300049,-0.953775,0.380112,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067418,-35.195871331021,
0.060,0.000,2146.800049,-0.989662,0.403890,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067471,-35.195871327228,
0.070,0.000,2148.399902,-0.958118,0.420806,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067524,-35.195871323434,
0.080,0.000,2150.399902,-0.891074,0.436188,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067576,-35.195871319641,
0.090,0.000,2152.000000,-0.885891,0.432107,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067629,-35.195871315847,
0.100,0.000,2152.000000,-0.931355,0.396009,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067682,-35.195871312054,
0.110,0.000,2152.300049,-0.939708,0.355446,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067735,-35.195871308261,
0.120,0.000,2153.800049,-0.918619,0.340996,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067788,-35.195871304467,
0.130,0.000,2155.199951,-0.903329,0.354885,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067840,-35.195871300674,
0.140,0.000,2156.199951,-0.888518,0.384316,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067893,-35.195871296880,
0.150,0.000,2156.899902,-0.897871,0.391047,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067946,-35.195871293087,
0.160,0.000,2156.399902,-0.937511,0.365681,0.000000,0.000000,0.000000,76.112122,-0.022096,-5.843430067999,-35.195871289294,
